,game_id,team,week,total_yards,total_tds,passing_tds,rushing_tds,num_plays,avg_epa,success_rate,total_rush_yards,rush_attempts,longest_rush,rushes_for_loss,total_pass_yards,pass_attempts,complete_passes,incomplete_passes,sacks,longest_pass,total_penalty_yards,fumbles_lost,interceptions,third_down_converted,fourth_down_converted,wp,home_wp,away_wp
224,2024_08_CHI_WAS,CHI,8,309.0,2.0,0.0,2.0,61,-0.12941422,0.4262295081967213,202.0,33.0,56.0,2,131.0,28.0,10.0,14.0,3.0,27.0,0.0,1.0,0.0,2.0,0.0,0.28307155,0.7169284,0.28307155
225,2024_08_CHI_WAS,WAS,8,481.0,1.0,1.0,0.0,72,0.07495406,0.4444444444444444,168.0,32.0,29.0,4,326.0,40.0,21.0,17.0,2.0,61.0,20.0,0.0,0.0,5.0,0.0,0.7673948,0.7673948,0.23260525
226,2024_08_DAL_SF,DAL,8,293.0,3.0,2.0,1.0,58,-0.0179736,0.41379310344827586,57.0,18.0,11.0,1,243.0,40.0,25.0,11.0,2.0,29.0,0.0,0.0,2.0,4.0,1.0,0.30206802,0.69793195,0.30206802
227,2024_08_DAL_SF,SF,8,470.0,3.0,1.0,2.0,63,0.25147954,0.5238095238095238,224.0,35.0,39.0,0,260.0,28.0,18.0,8.0,2.0,47.0,0.0,0.0,0.0,8.0,0.0,0.6981531,0.6981531,0.30184698
228,2024_08_GB_JAX,GB,8,425.0,3.0,1.0,2.0,64,0.10961366,0.453125,173.0,36.0,38.0,3,252.0,28.0,18.0,8.0,1.0,67.0,10.0,0.0,1.0,3.0,0.0,0.5871174,0.41288263,0.5871174
229,2024_08_GB_JAX,JAX,8,390.0,3.0,2.0,1.0,56,0.061244253,0.48214285714285715,91.0,23.0,16.0,2,308.0,33.0,21.0,10.0,1.0,33.0,0.0,1.0,1.0,1.0,1.0,0.36350444,0.36350444,0.6364956
230,2024_08_IND_HOU,HOU,8,363.0,2.0,1.0,1.0,68,-0.06942153,0.4117647058823529,96.0,29.0,21.0,8,285.0,39.0,25.0,12.0,2.0,49.0,0.0,1.0,0.0,4.0,0.0,0.65288424,0.65288424,0.34711573
231,2024_08_IND_HOU,IND,8,304.0,2.0,1.0,1.0,61,-0.09270545,0.29508196721311475,151.0,25.0,28.0,3,175.0,36.0,10.0,20.0,5.0,69.0,10.0,1.0,1.0,2.0,2.0,0.31901586,0.6809842,0.31901586
232,2024_08_KC_LV,KC,8,337.0,3.0,2.0,1.0,64,0.17511763,0.546875,85.0,26.0,14.0,1,262.0,38.0,27.0,9.0,1.0,25.0,7.0,0.0,1.0,12.0,0.0,0.6208367,0.37916332,0.6208367
233,2024_08_KC_LV,LV,8,229.0,2.0,2.0,0.0,53,-0.057852197,0.49056603773584906,34.0,20.0,7.0,4,209.0,33.0,24.0,4.0,5.0,20.0,5.0,1.0,0.0,6.0,1.0,0.3666312,0.3666312,0.6333688
234,2024_08_MIN_LA,LA,8,390.0,4.0,4.0,0.0,63,0.1864958,0.47619047619047616,111.0,29.0,17.0,5,279.0,34.0,25.0,8.0,0.0,27.0,17.0,0.0,1.0,4.0,1.0,0.5864029,0.5864029,0.4135971
